item_id	category_id
1155	173
1156	162
1157	173
1158	173
1159	173
1160	160
1161	160
1162	144
1162	148
1163	133
1164	144
1165	144
1166	173
1167	161
1168	161
1169	161
1170	172
1171	161
1172	172
1173	161
1174	161
1175	172
1176	155
1177	172
1178	155
1179	155
1180	172
1181	155
1182	172
1183	158
1184	172
1185	160
1186	172
1187	160
1188	173
1189	172
1190	172
1191	172
1192	160
1193	172
1194	157
1195	157
1196	157
1197	157
1198	157
1199	157
1200	157
1201	157
1202	157
1203	169
1204	169
1205	162
1206	169
1207	173
1208	160
1209	160
1210	173
1211	160
1212	173
1213	160
1214	173
1215	160
1216	160
1217	168
1218	160
1219	157
1219	160
1220	168
1221	157
1222	157
1222	173
1223	157
1223	160
1223	172
1224	157
1224	173
1225	138
1226	138
1227	133
1228	133
1229	162
1230	162
1231	162
1232	162
1233	162
1234	162
1235	162
1236	162
1237	162
1238	173
1239	173
1240	162
1241	173
1242	168
1243	172
1244	160
1245	172
1246	160
1247	160
1248	160
1249	133
1250	160
1251	133
1252	143
1253	134
1253	152
1254	124
1255	124
1256	124
1257	124
1258	124
1259	160
1260	160
1261	160
1262	169
1263	160
1264	173
1265	169
1266	168
1267	173
1268	155
1269	160
1270	168
1271	160
1272	168
1273	173
1274	172
1275	160
1276	172
1277	161
1278	172
1279	157
1279	160
1280	160
1281	172
1282	160
1283	173
1284	160
1285	173
1286	168
1287	161
1288	152
1289	128
1289	168
1290	128
1290	168
1291	129
1291	168
1292	168
1292	170
1293	129
1293	164
1293	168
1294	128
1294	168
1295	154
1295	168
1296	129
1296	168
1297	168
1297	170
1298	129
1298	164
1298	168
1299	129
1299	154
1299	168
1300	154
1300	163
1300	168
1301	129
1301	168
1302	129
1302	168
1303	128
1303	140
1303	168
1304	128
1304	141
1304	168
1305	164
1305	168
1306	164
1306	168
1307	164
1307	168
1308	164
1308	168
1309	154
1309	168
1309	171
1310	154
1310	168
1310	171
1311	168
1312	140
1312	163
1312	168
1313	140
1313	163
1313	168
1314	164
1314	168
1315	129
1315	168
1316	140
1316	168
1317	140
1317	163
1317	168
1318	140
1318	168
1319	163
1319	168
1320	163
1320	168
1321	163
1321	168
1322	131
1322	163
1322	168
1323	131
1323	163
1323	168
1324	131
1324	140
1324	168
1325	131
1325	140
1325	168
1326	131
1326	140
1326	168
1326	171
1327	128
1327	168
1328	163
1328	168
1328	170
1329	163
1329	168
1330	164
1330	168
1330	170
1331	141
1331	164
1331	168
1332	168
1332	170
1333	131
1333	163
1333	168
1334	131
1334	168
1334	170
1335	140
1335	168
1335	171
1336	163
1336	168
1337	140
1337	168
1338	168
1338	170
1339	168
1339	170
1340	168
1340	170
1341	168
1341	170
1342	168
1342	170
1343	168
1343	170
1344	163
1344	168
1345	163
1345	168
1346	128
1346	168
1347	168
1347	170
1348	173
1349	173
1350	160
1351	169
1352	137
1353	137
1356	137
1357	137
1360	125
1361	135
1361	140
1361	154
1361	168
1362	168
1363	135
1363	154
1363	168
1363	170
1364	129
1364	154
1364	168
1365	154
1365	168
1366	129
1366	154
1366	168
1367	135
1367	154
1367	164
1367	168
1368	154
1368	164
1368	168
1369	168
1370	172
1371	168
1372	168
1372	170
1373	128
1373	131
1373	168
1374	163
1374	168
1375	154
1375	163
1375	168
1376	152
1377	133
1378	134
1378	152
1379	173
1380	160
1381	160
1382	133
1383	173
1384	160
1385	149
1386	149
1387	139
1387	149
1388	143
1389	145
1390	142
1391	142
1392	141
1393	139
1394	144
1395	138
1396	138
1397	138
1398	138
1399	138
1400	138
1401	138
1402	138
1403	124
1404	124
1405	124
1406	124
1407	124
1408	124
1409	124
1410	124
1411	124
1412	124
1413	124
1414	124
1415	167
1416	167
1417	167
1418	168
1418	170
1419	131
1419	140
1419	168
1420	131
1420	163
1420	168
1421	131
1421	168
1421	170
1422	140
1422	163
1422	168
1423	154
1423	164
1423	168
1424	173
1426	138
1427	152
1428	152
1429	157
1429	160
1430	173
1431	133
1432	132
1433	142
1434	168
1434	171
1435	132
1436	173
1437	173
1438	160
1439	165
1440	165
1441	166
1442	132
1443	132
1443	141
1444	135
1444	154
1444	168
1445	125
1446	135
1446	154
1446	168
1447	165
1448	166
1449	173
1450	166
1451	166
1452	160
1453	149
1454	143
1455	147
1456	152
1457	140
1457	163
1457	168
1458	168
1458	170
1459	163
1459	168
1460	168
1460	170
1461	129
1461	140
1461	168
1462	129
1462	168
1463	168
1463	170
1464	168
1464	170
1465	135
1465	154
1465	163
1465	168
1466	173
1467	173
1468	160
1469	165
1470	165
1471	161
1472	133
1473	133
1474	133
1475	133
1476	133
1477	133
1478	133
1479	133
1480	133
1481	133
1482	133
1483	133
1484	133
1485	133
1486	133
1487	133
1488	133
1489	133
1490	133
1491	139
1492	139
1493	139
1494	139
1495	139
1496	139
1497	132
1498	132
1499	132
1500	132
1501	143
1502	143
1503	139
1504	167
1506	168
1506	170
1507	147
1508	163
1508	168
1509	148
1510	148
1511	132
1512	132
1513	132
1514	132
1515	132
1516	132
1517	132
1518	125
1519	132
1520	141
1521	149
1521	154
1521	168
1522	145
1523	132
1523	141
1524	132
1524	135
1525	149
1526	144
1527	164
1527	168
1528	164
1528	168
1529	168
1530	164
1530	168
1531	135
1531	154
1531	168
1532	134
1532	152
1533	134
1533	152
1534	135
1534	154
1534	168
1535	135
1535	168
1536	150
1538	173
1539	125
1540	141
1540	154
1541	135
1541	141
1541	154
1542	141
1542	154
1543	141
1543	154
1544	138
1545	168
1546	152
1547	135
1547	168
1547	171
1548	173
1549	152
1550	148
1551	168
1551	170
1552	163
1552	168
1553	172
1554	168
1554	170
1555	154
1555	168
1556	131
1556	168
1557	138
1557	142
1558	142
1559	142
1560	138
1560	142
1561	132
1562	168
1563	145
1564	145
1565	141
1566	141
1567	141
1568	141
1569	141
1570	141
1571	141
1572	141
1573	141
1574	143
1575	133
1576	133
1577	149
1577	168
1578	128
1578	140
1578	168
1579	149
1580	132
1580	135
1580	154
1581	135
1581	164
1581	168
1582	172
1583	160
1584	172
1585	160
1586	154
1586	168
1586	170
1587	154
1587	163
1587	168
1588	128
1588	154
1588	168
1589	154
1589	168
1590	128
1590	154
1591	164
1591	168
1592	150
1593	141
1594	152
1595	173
1596	134
1596	152
1597	164
1597	168
1598	163
1598	168
1599	139
1600	139
1601	164
1601	168
1602	141
1603	163
1603	168
1603	170
1604	128
1604	135
1604	140
1604	168
1605	143
1606	143
1607	135
1607	154
1607	163
1607	168
1608	128
1608	131
1608	168
1609	140
1609	163
1609	168
1610	140
1610	168
1611	148
1612	132
1613	139
1614	135
1614	154
1614	163
1614	168
1615	125
1616	125
1617	125
1618	125
1619	125
1620	125
1621	168
1622	134
1622	152
1623	134
1623	152
1624	160
1625	168
1626	160
1627	160
1628	143
1629	132
1630	148
1631	148
1632	132
1633	139
1634	139
1635	139
1636	132
1637	132
1638	135
1638	168
1639	140
1639	168
1640	131
1640	140
1640	168
1641	134
1641	153
1642	135
1642	154
1642	164
1642	168
1643	134
1643	152
1644	135
1644	154
1644	164
1644	168
1645	129
1645	168
1646	129
1646	154
1646	168
1647	154
1647	168
1648	129
1648	154
1648	168
1649	168
1649	170
1650	168
1650	171
1651	135
1651	168
1651	171
1652	135
1652	168
1652	171
1653	135
1653	154
1653	168
1654	135
1654	154
1654	168
1655	135
1655	154
1655	168
1656	135
1656	154
1656	168
1657	135
1657	154
1657	168
1658	135
1658	168
1659	135
1659	154
1659	168
1660	135
1660	154
1660	168
1661	151
1661	168
1662	151
1662	168
1663	151
1663	168
1664	151
1664	168
1665	151
1665	168
1666	151
1666	168
1667	151
1667	168
1668	151
1668	168
1669	151
1669	168
1670	151
1670	168
1671	151
1671	168
1672	125
1673	129
1673	136
1673	168
1674	136
1675	134
1675	153
1676	134
1676	153
1677	134
1677	153
1678	134
1678	153
1679	134
1679	153
1680	134
1680	153
1681	134
1681	153
1682	134
1682	153
1683	134
1683	153
1684	134
1684	153
1685	134
1685	153
1686	134
1686	153
1687	152
1688	135
1688	168
1689	141
1690	147
1691	147
1692	147
1693	136
1693	168
1694	136
1695	136
1696	136
1697	136
1698	136
1699	136
1700	136
1701	136
1702	136
1703	136
1704	136
1705	136
1706	136
1707	129
1707	135
1707	168
1708	168
1709	151
1709	168
1710	151
1710	168
1711	151
1711	168
1712	151
1712	168
1713	151
1713	168
1714	151
1714	168
1715	151
1715	168
1716	151
1716	168
1717	151
1717	168
1718	151
1718	168
1719	136
1720	136
1721	136
1722	136
1723	132
1724	129
1724	154
1724	168
1725	151
1726	136
1727	148
1728	154
1728	164
1728	168
1729	140
1729	168
1730	129
1730	154
1730	168
1731	136
1732	168
1733	148
1733	154
1734	143
1734	154
1734	168
1735	132
1736	132
1737	136
1738	136
1739	168
1739	170
1740	132
1740	148
1740	168
1741	135
1741	168
1741	171
1742	164
1742	168
1743	129
1743	168
1744	135
1744	168
1744	171
1745	173
1746	129
1746	135
1746	168
1747	132
1748	151
1748	168
1749	129
1749	135
1749	168
1750	152
1751	135
1751	154
1751	168
1752	135
1752	151
1752	168
1753	151
1753	168
1754	128
1754	168
1755	131
1755	151
1755	168
1756	174
1757	174
1758	174
1759	174
1760	174
1761	174
1762	140
1762	154
17049	124
17050	124
26945	135
26945	164
26945	168
26946	166
26947	166
26948	166
26949	166
27439	153
27440	153
28338	153
28633	135
28634	153
37891	127
37891	135
37892	149
38225	127
38225	129
38226	174
38227	174
38228	174
38229	174
38230	174
38231	174
38232	174
38233	174
38234	174
38245	129
38246	143
38247	143
38251	153
38252	153
38253	153
38282	151
